relative_path,filename,classification,prefix,prefix_status,predecessor,predecessor_confidence,up_export,down_export,tables_created,tables_or_objects_referenced,columns_changed,schema_operation_tags,dependency_references,destructive_operation_tags,constraint_tags,applied_status,applied_status_evidence,file_sha256,size_bytes
backend/migrations/1-schema-account-registry.sql,1-schema-account-registry.sql,active-candidate,,missing_or_nonstandard,,not_applicable,False,False,,IF|record|CURRENT_TIMESTAMP|CASCADE|account_registry,,,,raw_destructive_sql,foreign_key_reference|unique,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,a31376bb16ebaffafc9935fa62a107af6cbb5120b3040191ffe29308399caa9f,4812
backend/migrations/20250420094330-create-roles.js,20250420094330-create-roles.js,active-candidate,20250420094330,ok,,first_repository_candidate,True,True,roles,roles,,create_table|drop_table,,drop_table,unique,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,891897f764fa154f8408fcb834accc4f494fa2524eaf9c387578277e8328fd1d,857
backend/migrations/20250420101520-create-divisions.js,20250420101520-create-divisions.js,active-candidate,20250420101520,ok,20250420094330-create-roles.js,repository_lexical_order_only,True,True,divisions,divisions,,create_table|drop_table,,drop_table,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,40c127c352e83f044e6de4b34c4542b13d39acd118503ab5df40a67ac6258d32,810
backend/migrations/20250420102223-create-users.js,20250420102223-create-users.js,active-candidate,20250420102223,ok,20250420101520-create-divisions.js,repository_lexical_order_only,True,True,users,users,,create_table|drop_table,divisions|roles,drop_table,foreign_key_reference|unique,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,56075eaad4724b58e8a81794efcf6297666f3940d2bafa4b7ab0c652f61dafdb,1477
backend/migrations/202504201300-create-users.js,202504201300-create-users.js,active-candidate,202504201300,ok,20250420102223-create-users.js,repository_lexical_order_only,True,True,users,users,,create_table|drop_table,divisions|roles,drop_table,foreign_key_reference|unique,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,5959fbf8aaeaf852825d574a890ea038b330ccc067eba1756edd95b1623b1ff7,1437
backend/migrations/20250421-update-divisions-ids.js,20250421-update-divisions-ids.js,active-candidate,20250421,ok,202504201300-create-users.js,repository_lexical_order_only,True,True,,referensi|users|primary|divisions,,raw_sql,,,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,89edbff9d7f88cd67458722233e6f144f1c66673c532d3e52fcf5c9940a1006c,2050
backend/migrations/20250525015058-create-renstra-opd.js,20250525015058-create-renstra-opd.js,active-candidate,20250525015058,ok,20250421-update-divisions-ids.js,repository_lexical_order_only,True,True,renstra_opd,renstra_opd,,create_table|drop_table,,drop_table,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,239f888685bd00d12fadd177e5c02351fca1bebbd386fd63cd14a15cd10be648,1034
backend/migrations/20250602022944-create-periode_rpjmd.js,20250602022944-create-periode_rpjmd.js,active-candidate,20250602022944,ok,20250525015058-create-renstra-opd.js,repository_lexical_order_only,True,True,periode_rpjmds,periode_rpjmds,,create_table|drop_table,,drop_table,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,ad52b6520e06b1059d3a1052fc8ef44a95a29325225d943b2b0797cd2984b5c6,932
backend/migrations/20250905094908-create-renstra-tabel-subkegiatan.js,20250905094908-create-renstra-tabel-subkegiatan.js,active-candidate,20250905094908,ok,20250602022944-create-periode_rpjmd.js,repository_lexical_order_only,True,True,renstra_tabel_subkegiatan,renstra_tabel_subkegiatan|CURRENT_TIMESTAMP,,create_table|drop_table,,drop_table,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,4002f1152c667c06a13905bc4c5b27f038f75657282a5664142a1975cb02a4e5,1068
backend/migrations/20250905094909-create-renstra-tabel-subkegiatan.js,20250905094909-create-renstra-tabel-subkegiatan.js,active-candidate,20250905094909,ok,20250905094908-create-renstra-tabel-subkegiatan.js,repository_lexical_order_only,True,True,,CURRENT_TIMESTAMP,,,RenstraOPD,,foreign_key_reference,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,34285211cb642b67cee9dc8c072ddb0fa397bc0b7a461b62dc5142162e358054,3485
backend/migrations/20250905094910-create-renstra-tabel-tujuan.js,20250905094910-create-renstra-tabel-tujuan.js,active-candidate,20250905094910,ok,20250905094909-create-renstra-tabel-subkegiatan.js,repository_lexical_order_only,True,True,renstra_tabel_tujuan,renstra_tabel_tujuan|CURRENT_TIMESTAMP,,create_table|drop_table,,drop_table,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,970d74b64fda439acbf71b19d306c7259e7e9ea48be9184166649de381335632,2321
backend/migrations/20250905094911-create-renstra-tabel-sasaran.js,20250905094911-create-renstra-tabel-sasaran.js,active-candidate,20250905094911,ok,20250905094910-create-renstra-tabel-tujuan.js,repository_lexical_order_only,True,True,renstra_tabel_sasaran,renstra_tabel_sasaran|CURRENT_TIMESTAMP,,create_table|drop_table,,drop_table,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,f16418925695dabac4bf908a06969c0a78ce5fddb16d364d0deafa3bc7e0b280,2390
backend/migrations/20250906061725-add-timestamps-to-renstra-tabel-sasaran.js,20250906061725-add-timestamps-to-renstra-tabel-sasaran.js,active-candidate,20250906061725,ok,20250905094911-create-renstra-tabel-sasaran.js,repository_lexical_order_only,True,True,,renstra_tabel_sasaran|CURRENT_TIMESTAMP,renstra_tabel_sasaran.created_at|renstra_tabel_sasaran.updated_at,add_column|remove_column,,remove_column,,unknown_not_verifiable,No per-environment migration history was available; repository filename cannot prove execution.,987a861e011716d0646d1ac52c8c9b5485f31ab8e1ee7c38932155136f1972cc,723
