id,title,severity,priority,status,owner,gap_type,evidence,impact,closure
AUD-2026-001,Posting/void jurnal tidak atomik terhadap perubahan saldo,Critical,P0,Open,Owner modul akuntansi/DBA,implementation,backend/controllers/lkJurnalController.js:269-323; backend/services/lkSaldoService.js:123-127,"Double-post, double-void, saldo tidak konsisten, salah saji keuangan","Gunakan satu transaction untuk guard status, row lock/conditional update, perubahan status, dan apply saldo; tambahkan concurrency test yang membuktikan hanya satu posting berhasil; lakukan rekonsiliasi saldo. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-002,Tenant/OPD isolation tidak konsisten pada model dan query,Critical,P0,Open,Security owner/Data owner,implementation,"backend/models/index.js:24-73,144-145; backend/lib/tenantSequelizeHooks.js:52-99; static scan 238 model files, 40 contain tenant_id text and 198 do not",Kebocoran atau mutasi data lintas OPD; kontrol sistemik tidak dapat dibuktikan lengkap,"Tetapkan model matrix tenant ownership; server-derived scope di semua read/write/export; fail closed saat context hilang; DB constraints/index; cross-tenant negative tests untuk semua domain. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-003,Penatausahaan read/update/delete tidak memeriksa boundary OPD,Critical,P0,Open,Owner Penatausahaan/Security owner,implementation,"backend/controllers/penatausahaanController.js:35-83,86-121,124-153",IDOR/BOLA atas data keuangan dan transaksi OPD lain,"Derive OPD dari authenticated principal, scope parent DPA, reject mismatch before disclosure/mutation, add API tests for list/get/update/delete/create. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-004,Pembuatan user menerima tenant_id dari body dan role hierarchy tidak ditegakkan,Critical,P0,Open,IAM owner/Project owner,implementation,"backend/controllers/userController.js:7-43,148-181","Privilege escalation, user lintas tenant, perubahan role/password tanpa maker-checker","Ignore/reject client tenant_id for non-SUPER_ADMIN; server-derive tenant; enforce actor-target role hierarchy and self-protection; audit every IAM mutation; regression tests. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-005,Migration dedupe/reconciliation dapat mengubah data secara parsial dan tidak reversible,Critical,P0,Open,DBA/Migration owner,implementation,"backend/migrations/20260218120000-rpjmd-indikator-kode-dedupe-unique.js:23-43,46-57; backend/migrations/20260423120000-dedupe-renstra-kegiatan-duplicate-kode.js:23-29,71-98,134-137; backend/migrations/20260807120001-reconcile-renja-approval-status-authoritative.js:59-123,126-138","Data loss, partial foreign-key rewrites, irreproducible rollback, status authoritative rusak","Preflight schema/version checks, dry-run artifact, transaction per migration or resumable checkpoint, backup/restore evidence, idempotency and rollback/recovery test; no-op down must be accepted only with approved recovery procedure. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-006,Account Registry menyimpan credential yang dapat didekripsi dan operasi global tanpa tenant scope,High,P0,Open,Security owner/IAM owner,implementation,"backend/services/accountRegistryService.js:194-233,248-353,362-414,422-493; backend/models/accountRegistryModel.js:46-59,112-116,218-232,308-313",Kompromi credential email/platform dan disclosure lintas OPD,"Hapus kebutuhan reversible credential atau gunakan vault; strict privileged access with approval; tenant ownership; no plaintext in response/log; key rotation; access/audit events; secret exposure tests. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-007,Renstra tujuan dan sibling controllers tidak memiliki caller-derived OPD ownership guard,High,P0,Open,Owner Renstra/Security owner,implementation,"backend/controllers/renstra_tujuanController.js:47-57,59-104,142-183; sibling controller scan noted in baseline",IDOR lintas OPD pada planning data dan dokumen turunan,"Use stored parent Renstra OPD ownership; scope list/detail/mutation/export; deny before response; cross-OPD API tests across all Renstra child controllers. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-008,"MR/TLHP write-side hardened, tetapi list/detail read-side tidak menerima user context",High,P0,In Progress,Owner MR/Security owner,implementation,backend/services/mr/mrPlanningLhpService.js:264-575 vs 577-600; child-service read paths in mrPlanningTemuanService.js and mrPlanningTindakLanjutService.js,"Disclosure lintas OPD pada LHP, temuan, tindak lanjut, dan history","Pass authenticated user into all read helpers; derive scope from stored parent; test list/detail/export/history for cross-tenant denial and empty-result behavior. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-009,Socket.IO mempercayai role dan userId dari handshake query,High,P0,Open,Platform/Security owner,implementation,backend/server.js:693-716,Unauthorized room join and real-time event disclosure/impersonation,"Add io.use JWT/cookie authentication, server-derived identity/role/tenant, authorization per room/event, disconnect on failure, and integration tests. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-010,Preview CALK menggunakan dangerouslySetInnerHTML tanpa sanitizer,High,P0,Open,Frontend/Security owner,implementation,frontend/src/features/lk/pages/CalkPage.jsx:275-298,Stored XSS via persisted narrative/HTML content; session or data compromise,"Sanitize with approved allowlist at render and persistence boundaries; reject dangerous URLs/attributes; add XSS regression tests and CSP review. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-011,Production dependency vulnerability backlog belum ditutup,High,P0,Open,Engineering/Supply-chain owner,implementation,"read-only npm audit --omit=dev: backend total 45 (6 critical/29 high/10 moderate), frontend total 18 (2 critical/11 high/5 moderate); lockfiles/package manifests",Known exploitable dependency paths in public-facing application,"Triage each advisory by reachable path; patch/upgrade or documented compensating control; SBOM/provenance/license review; CI vulnerability threshold and exception expiry. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-012,Static /uploads berpotensi membuka file tanpa authorization per object,High,P0,Open,Platform/Security owner,implementation,backend/server.js:476-477; MR file URL construction in mrPlanningLhpService.js:409-416,Disclosure dokumen resmi/PII lintas OPD; path and content-type risk,"Private storage or authorization middleware per object; signed short-lived URLs; path/content-type/size validation; tenant negative tests and download audit. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-013,Token browser persistence dan console/error exposure memperbesar blast radius,High,P1,Open,IAM/Frontend/Security owner,implementation,"frontend/src/contexts/AuthProvider.jsx:12-23,41-45,50-73,127-175,195-215; frontend/src/services/api.js:27-47,75-120; baseline Login.jsx:21-45; backend/controllers/renstra_tujuanController.js:195-197; backend error patterns",XSS/extensions/log capture dapat mengambil bearer token; sensitive error detail,"Prefer httpOnly secure same-site session/refresh cookies; remove token from localStorage/URL/console; generic client errors; structured redacted server logs; security regression tests. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-014,Legacy RenjaDokumen status path telah dimitigasi tetapi end-to-end proof dan sibling parity belum lengkap,High,P1,In Progress,Owner Renja/Workflow owner,testing,backend/controllers/planningRenjaDokumenController.js:718-728; backend/services/renjaDokumenStatusSyncService.js; backend/migrations/20260807120001...:59-123; renjaStatusMigrationIntegrationSelfTest.js:178-235,Desync/downgrade status authoritative pada endpoint legacy atau migrasi,"Add end-to-end tests invoking controller and migration modules, reject downgrade, verify DB state/approval events, and inventory all status writers. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-015,"Backup/restore engine terdokumentasi dan self-tested, tetapi operasional produksi belum terverifikasi",High,P1,Not Verifiable,Operations/DBA/Project owner,operational,"backend/scripts/databaseBackup.js:83-355; databaseRestoreVerify.js:55-256; docs/internal/database-backup-restore-runbook.md:75-123,150-173; manifest row-count comparison skipped at restore script:198-204","RPO/RTO, retention, restore readiness, and recovery completeness unknown","Owner-signed scheduler evidence, backup inventory, immutable/offsite copy, encryption/key custody, measured RPO/RTO, successful restore drill with row/count/integrity comparison, incident/rollback runbook. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-016,Lint quality gate gagal pada backend dan frontend,High,P1,Open,Engineering lead,testing,"npm run lint: backend exit 1, 2,955 problems (1,258 errors, 1,697 warnings); frontend exit 1, 1,414 problems (940 errors, 474 warnings)",Defect/security regression can merge; maintainability and review confidence low,"Reduce errors to zero or approved bounded baseline, fail CI on new violations, enforce formatter/type checks and PR review evidence. Closure remains pending implementation, production-code test, operational evidence, and independent review."
AUD-2026-017,CI checks bersifat parsial dan required branch protection tidak terbukti,High,P1,Not Verifiable,Engineering/Repository admin,operational,.github/workflows/ci-generic.yml:1-110; workflow-compliance-verify.yml:47-84; planning-audit-verify.yml:6-43,Model existing yang dimodifikasi dapat lolos tanpa compliance check; test/security/migration/performance gaps,"Evidence GitHub branch protection, required checks, CODEOWNERS/review, full test matrix, SAST/dependency/secret scan, migration/concurrency/performance checks; prevent non-retroactive loopholes. Closure remains pending implementation, production-code test, operational evidence, and independent review."
