finding_id,baseline_ids,severity,priority,area,title,root_cause,affected_files,intended_fix,test_required,evidence_required,owner,reviewer,status_before,status_after,residual_risk,commit_refs,evidence_refs,closure_date
AUD-001,AUD-001,Critical,P0,Data Integrity / Reliability,Race condition (TOCTOU) pada posting & void jurnal umum — potensi double-posting saldo GL,"POST /api/jurnal/:id/post dan /:id/void membaca status, validasi, lalu update dalam 3 statement DB terpisah tanpa transaction/row lock. Dua request paralel bisa sama-sama lolos cek status sebelum salah satu commit.","backend/controllers/lkJurnalController.js:269-323 (post, void)","Bungkus find+update status+applyJournalPosting dalam satu sequelize.transaction() dengan lock: t.LOCK.UPDATE, atau conditional UPDATE atomik dengan cek affectedRows.","Kirim 2 request paralel post pada jurnal sama, assert hanya 1 berhasil & saldo bertambah tepat 1x.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-001,
AUD-002,AUD-002,Critical,P0,Security,IDOR — modul Penatausahaan tidak punya boundary OPD sama sekali,"create/update/destroy hanya di-guard allowRoles(['SUPER_ADMIN','ADMINISTRATOR']) tanpa verifikasi kepemilikan OPD — berbeda dari pola assertDpaOpdBoundary/assertRkaOpdBoundary yang konsisten dipakai di controller DPA/RKA.",backend/controllers/penatausahaanController.js:86-153; backend/routes/penatausahaanRoutes.js:42-61,"Resolusi dpa.opd_id → bandingkan dengan OPD milik req.user, reuse pola assertDpaOpdBoundary dari dpaController.js.",ADMINISTRATOR OPD A create/update/delete transaksi dpa_id milik OPD B → harus 403.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-002,
AUD-003,AUD-003,Critical,P0,Reliability,Migrasi dedupe/unique RPJMD dijadwalkan sebelum tabel yang dioperasikan dibuat — deploy dari nol gagal total,"Migrasi ini men-DELETE duplikat & menambah UNIQUE KEY pada 7 tabel indikator RPJMD termasuk indikatorstrategis/indikatorarahkebijakans/indikatorsubkegiatans, yang baru benar-benar dibuat oleh migrasi 20260415110001/2/3 (timestamp LEBIH BARU 2 bulan).",backend/migrations/20260218120000-rpjmd-indikator-kode-dedupe-unique.js:10-43,"Rename timestamp file migrasi ke setelah 20260415110003, atau pisahkan operasi 3 tabel yang belum ada ke migrasi baru setelah createTable-nya. Tambahkan guard tableExists() sebelum DELETE/ALTER per tabel.",Smoke-test 'migrate dari kosong sampai akhir tanpa error' sebagai gate CI/staging.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Fixed Pending Retest,"Active migration chain remains blocked by duplicate prefixes and premature AUD-003 dependency; applied history outside audit disposable is Not Verifiable; fresh/upgrade policy, owner/DBA approval, and full-chain recovery evidence remain required.",aa79f5ab; ce638287,audit/findings.json:AUD-003; audit/forward-fix-disposable-guard-v5.md; audit/forward-fix-empty-database-test-v5.md; audit/forward-fix-representative-database-test-v5.md; audit/forward-fix-disposable-test-report-v5.md; audit/migration-applied-history-reconciliation-v5.md; audit/migration-applied-history-reconciliation-v5.json; audit/controlled-migration-chain-gate-v5.md; audit/migration-decision-record-v5.md; audit/optionc-forward-fix-rollback-plan-v5.md; audit/migration-invariant-report-v5.md; audit/optionc-disposable-test-matrix-v5.md; audit/forward-fix-review-v5.md; audit/migration-dependency-graph-v5.json; audit/migration-conflict-register-v5.json,
AUD-004,AUD-004,Critical,P0,Security,"7 modul (BMD, LAKIP, Monev, Pengkeg, LPK Dispang, LK Dispang, SDI) tanpa isolasi tenant sama sekali","installTenantIsolation() adalah whitelist per-model (TENANTED_MODEL_NAMES, ~24 dari ~200 model). Ketujuh model ini (dan PeriodeRpjmd, FK utama semuanya) tidak punya kolom tenant_id dan tidak ada filtering manual di controller.","backend/models/{bmd,lakip,monev,pengkeg,lpkDispang,lkDispang,sdiDaftarData}Model.js; controllers terkait; backend/lib/tenantSequelizeHooks.js:7-34","Tambahkan kolom tenant_id ke 7 tabel + periode_rpjmds (migrasi + backfill), daftarkan ke TENANTED_MODEL_NAMES. Audit ulang seluruh ~200 model untuk gap serupa.","Self-test 2 tenant dummy + data per modul, verifikasi query tenant A tidak pernah mengembalikan baris tenant B.","Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-004,
AUD-005,AUD-005,Critical,P0,Security,ADMINISTRATOR dapat mengubah/mengambil-alih akun SUPER_ADMIN di tenant yang sama,"updateUser hanya memvalidasi kesamaan tenant, tidak ada perbandingan role aktor vs role target. ADMINISTRATOR dapat mengubah password/email/role_id user mana pun di tenant yang sama, termasuk SUPER_ADMIN.",backend/controllers/userController.js:148-187 (updateUser); backend/routes/userRoutes.js:44-49,Tolak (403) di updateUser/deleteUser jika currentUser.role !== 'SUPER_ADMIN' DAN target role_id setara/lebih tinggi dari aktor.,ADMINISTRATOR menargetkan SUPER_ADMIN via updateUser → assert 403.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-005,
AUD-006,AUD-006,Critical,P0,Security,CRUD Tujuan/Sasaran/Strategi/Arah Kebijakan/Program/Kegiatan Renstra tanpa boundary OPD,"Keenam controller inti Renstra hanya diproteksi allowRoles, tanpa cek kepemilikan OPD — berbeda dari pola assertRenstra*OpdBoundary yang sudah dibakukan & dipakai di renstra_opdController.js, renstra_subkegiatanController.js (update), renstra_tabelTujuanController.js, realisasiIndikatorRenstraController.js dalam codebase yang sama.","backend/controllers/renstra_{tujuan,sasaran,strategi,kebijakan,program,kegiatan}Controller.js (update/delete/findAll)","Terapkan pola assertRenstra*OpdBoundary yang sudah ada ke keenam controller pada update/delete, scope findAll ke OPD pemanggil.",User OPD A ADMINISTRATOR memanggil PUT ke record OPD B pada keenam endpoint → harus 403.,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-006,
AUD-007,AUD-007,Critical,P1,Security,"crypto-js versi lemah (PBKDF2), terbawa transitif via signpdf/pdfkit, tanpa fix","crypto-js <4.2.0 (GHSA-xwcq-pm8m-c4vf CVSS 9.1, GHSA-rg76-677x-56q9 CVSS 9.0) dibawa oleh pdfkit lama di dalam @signpdf/placeholder-plain. npm audit: fixAvailable false.",backend/package.json (@signpdf/placeholder-plain@3.2.5) -> node_modules chain pdfkit/crypto-js,"Cek rilis @signpdf/placeholder-plain lebih baru yang tidak bergantung pdfkit lama, atau verifikasi apakah fungsi crypto-js rentan benar-benar dipanggil pada jalur signing produksi.",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-007,
AUD-008,AUD-008,Critical,P2,Security,"basic-ftp path traversal (CVSS 9.1), transitif via puppeteer",basic-ftp <=5.3.0 rentan path traversal di downloadToDir() (GHSA-5rq4-664w-9x2c) + 3 CVE DoS/CRLF injection tambahan.,backend/package.json (puppeteer@24.14.0) -> node_modules/basic-ftp,npm audit fixAvailable true tapi menuntut downgrade puppeteer ke 19.8.0 — evaluasi bersama dengan AUD-028.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-008,
AUD-009,AUD-009,Critical,P0,Security,jsPDF — Path Traversal/LFI dan HTML Injection XSS (CVSS 9.6),"jsPDF <=4.2.0 rentan Local File Inclusion (GHSA-f8cm-6447-x5h2), PDF Injection AcroForm arbitrary JS (CVSS 8.1), HTML Injection 'New Window' (GHSA-wfv2-pwc8-crg5, CVSS 9.6).",frontend/package.json (jspdf@^3.0.1),"Upgrade ke wanted 3.0.4 (patch dalam major 3.x, aman, direkomendasikan segera).",-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-009,
AUD-010,AUD-010,Critical,P1,Security,form-data — unsafe random boundary generator (CWE-330),form-data >=4.0.0 <4.0.4 memakai fungsi random tidak aman untuk memilih multipart boundary (GHSA-fjxv-7rqg-78g4).,"frontend/package-lock.json (transitif, node_modules/form-data)",fixAvailable true — kemungkinan resolve otomatis lewat upgrade axios/dependency terkait.,-,"Implementation, integration/security test, operational evidence where applicable, owner, independent reviewer, and retest.",Not assigned,Not assigned,Open,Open,Release blocker until closure evidence or time-bounded owner risk acceptance is available.,,audit/findings.json:AUD-010,
