relative_path,filename,extension,size_bytes,modified_at,sha256,classification,content_status,evidence_status
dokumenEPelara/09022026 Matriks Pangan edit 12.30 - Edit Kode 11022026.xlsx,09022026 Matriks Pangan edit 12.30 - Edit Kode 11022026.xlsx,.xlsx,16046,2026-04-25T17:51:51+00:00,7e8986d8fd3183c476e616100ae4eb9b487ffe202758324a69390bedf70bb22a,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/10. Bulk Import Master → RPJMD.md,10. Bulk Import Master → RPJMD.md,.md,4228,2026-04-22T18:33:50+00:00,728646f4e63e9b6f9f53986225ec121f73599d4727d29aa0f17ed56c7b818212,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/11. Arsitektur dan Pedoman Pengembangan Bulk Import & Integrasi Master.md,11. Arsitektur dan Pedoman Pengembangan Bulk Import & Integrasi Master.md,.md,32598,2026-04-23T00:20:44+00:00,c014f31465ea3c8b7ff17aec182137413d30cb38b037b848f792024cb02870f4,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/12. UAT Batch Nyata Bulk Import RPJMD.md,12. UAT Batch Nyata Bulk Import RPJMD.md,.md,29298,2026-04-23T00:56:38+00:00,7fb1668ea6fa67a23ac70adab0f9042244c17ba6f23f4bd99ffe6eab6ed4ffbd,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/13. UAT & Evaluasi Bulk Import + Auto Mapping RPJMD.md,13. UAT & Evaluasi Bulk Import + Auto Mapping RPJMD.md,.md,9174,2026-04-23T05:58:58+00:00,b8fa5b903f4bfc9d69642714b93d1ea8f2a4d08483a2d716c7f77d5b33b01524,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/14. Pedoman & Laporan Implementasi Bulk Import + Auto Mapping RPJMD.md,14. Pedoman & Laporan Implementasi Bulk Import + Auto Mapping RPJMD.md,.md,10762,2026-04-23T15:47:12+00:00,657c4d50e734d70b06a1229893da42a44f076c9545243a6e2b065741d1fe1a69,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/15. Laporan Perbaikan Modul Indikator Spesifik RPJMD (Wizard vs Daftar).md,15. Laporan Perbaikan Modul Indikator Spesifik RPJMD (Wizard vs Daftar).md,.md,12622,2026-04-24T09:43:33+00:00,8afac637ad819dc7c62370201063da949d4e6569c16dc35c5648cfa02d90eb94,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/16. Pedoman Hemat Kuota ChatGPT Plus (Web) + Codex VS Code.md,16. Pedoman Hemat Kuota ChatGPT Plus (Web) + Codex VS Code.md,.md,5320,2026-04-30T12:15:20+00:00,f706263316f9a6759d8c4b8055a15d92cf9bcb7688d0904694e81da2d1152e1c,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/17. Pedoman-Git-dan-PR-ePelara.md,17. Pedoman-Git-dan-PR-ePelara.md,.md,19534,2026-04-24T10:46:45+00:00,7ac432056c46a4285e02c137d1fc639fe4325e209c68cfc9d9abaf049a5db886,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
dokumenEPelara/18. Pedoman-Keterhubungan-RPJMD-dan-Renstra-ePelara.md,18. Pedoman-Keterhubungan-RPJMD-dan-Renstra-ePelara.md,.md,6341,2026-04-25T06:04:24+00:00,91f8e96f96a468fd2ef7a657b96648978a7f08611558d9665e5e9cfa576b345a,Project documentation or evidence candidate,Inventory Only — contents and approval status require document-level review,Not Verifiable unless independently reviewed and linked to implementation/test/operational evidence
